2024-03-19 15:17:23,281 - INFO - ur_api: Send data: movej([0, 0, 0, 0, 0, 0], a=0.5, v=0.5, t=0, r=0)
2024-06-13 16:20:38,911 - INFO - ur_api: Send data: movej([-0.3151739861115558, -1.780601670512876, -1.8273371364426547, -1.1052453705449126, 1.607505409030924, -2.426381775224954], a=0.4, v=0.1, t=0, r=0)

2024-06-13 16:20:38,911 - INFO - ur_api: Send data: movej([-0.3151739861115558, -1.780601670512876, -1.8273371364426547, -1.1052453705449126, 1.607505409030924, -2.426381775224954], a=0.4, v=0.1, t=0, r=0)

2024-06-13 16:20:38,921 - INFO - ur_api: Send data: movej([-0.26344895138893554, -1.7104628124002865, -1.9496348195325153, -1.0511866970949162, 1.6074974039768, -2.3746218701590815], a=0.4, v=0.1, t=0, r=0)

2024-06-13 16:20:38,921 - INFO - ur_api: Send data: movej([-0.26344895138893554, -1.7104628124002865, -1.9496348195325153, -1.0511866970949162, 1.6074974039768, -2.3746218701590815], a=0.4, v=0.1, t=0, r=0)

2024-06-13 16:20:38,921 - INFO - ur_api: Send data: movej([-0.26344895138893554, -1.7104628124002865, -1.9496348195325153, -1.0511866970949162, 1.6074974039768, -2.3746218701590815], a=0.4, v=0.1, t=0, r=0)

2024-06-13 16:20:40,783 - INFO - ur_api: Send data: movej([-0.26344895138893554, -1.7104628124002865, -1.9496348195325153, -1.0511866970949162, 1.6074974039768, -2.3746218701590815], a=0.4, v=0.1, t=0, r=0)

2024-06-13 16:20:40,783 - INFO - ur_api: Send data: movej([-0.26344895138893554, -1.7104628124002865, -1.9496348195325153, -1.0511866970949162, 1.6074974039768, -2.3746218701590815], a=0.4, v=0.1, t=0, r=0)

2024-06-13 16:20:40,783 - INFO - ur_api: Send data: movej([-0.26344895138893554, -1.7104628124002865, -1.9496348195325153, -1.0511866970949162, 1.6074974039768, -2.3746218701590815], a=0.4, v=0.1, t=0, r=0)

2024-06-13 16:20:40,793 - INFO - ur_api: Send data: movej([-0.3135407652439034, -1.7785610670996468, -1.8327891791165805, -1.0952422845371568, 1.6017152346577939, -2.4157999821084215], a=0.4, v=0.1, t=0, r=0)

2024-06-13 16:20:40,793 - INFO - ur_api: Send data: movej([-0.3135407652439034, -1.7785610670996468, -1.8327891791165805, -1.0952422845371568, 1.6017152346577939, -2.4157999821084215], a=0.4, v=0.1, t=0, r=0)

2024-06-13 16:20:40,793 - INFO - ur_api: Send data: movej([-0.3135407652439034, -1.7785610670996468, -1.8327891791165805, -1.0952422845371568, 1.6017152346577939, -2.4157999821084215], a=0.4, v=0.1, t=0, r=0)

2024-06-13 16:20:42,597 - INFO - ur_api: Send data: movej([-0.3135407652439034, -1.7785610670996468, -1.8327891791165805, -1.0952422845371568, 1.6017152346577939, -2.4157999821084215], a=0.4, v=0.1, t=0, r=0)

2024-06-13 16:20:42,597 - INFO - ur_api: Send data: movej([-0.3135407652439034, -1.7785610670996468, -1.8327891791165805, -1.0952422845371568, 1.6017152346577939, -2.4157999821084215], a=0.4, v=0.1, t=0, r=0)

2024-06-13 16:20:42,597 - INFO - ur_api: Send data: movej([-0.3135407652439034, -1.7785610670996468, -1.8327891791165805, -1.0952422845371568, 1.6017152346577939, -2.4157999821084215], a=0.4, v=0.1, t=0, r=0)

2024-06-13 16:20:42,607 - INFO - ur_api: Send data: movej([-0.2533273917795871, -1.7413071226053143, -1.9154538737561155, -1.0479808920850897, 1.6013103747125086, -2.3555595444933872], a=0.4, v=0.1, t=0, r=0)

2024-06-13 16:20:42,607 - INFO - ur_api: Send data: movej([-0.2533273917795871, -1.7413071226053143, -1.9154538737561155, -1.0479808920850897, 1.6013103747125086, -2.3555595444933872], a=0.4, v=0.1, t=0, r=0)

2024-06-13 16:20:42,607 - INFO - ur_api: Send data: movej([-0.2533273917795871, -1.7413071226053143, -1.9154538737561155, -1.0479808920850897, 1.6013103747125086, -2.3555595444933872], a=0.4, v=0.1, t=0, r=0)

2024-06-13 16:20:44,080 - INFO - ur_api: Send data: movej([-0.2533273917795871, -1.7413071226053143, -1.9154538737561155, -1.0479808920850897, 1.6013103747125086, -2.3555595444933872], a=0.4, v=0.1, t=0, r=0)

2024-06-13 16:20:44,080 - INFO - ur_api: Send data: movej([-0.2533273917795871, -1.7413071226053143, -1.9154538737561155, -1.0479808920850897, 1.6013103747125086, -2.3555595444933872], a=0.4, v=0.1, t=0, r=0)

2024-06-13 16:20:44,080 - INFO - ur_api: Send data: movej([-0.2533273917795871, -1.7413071226053143, -1.9154538737561155, -1.0479808920850897, 1.6013103747125086, -2.3555595444933872], a=0.4, v=0.1, t=0, r=0)

2024-06-13 16:20:44,097 - INFO - ur_api: Send data: movej([-0.25332894196006805, -1.7296918243160728, -1.8883612618067638, -1.0990358605091735, 1.6013156438621103, -2.355975909197172], a=0.4, v=0.1, t=0, r=0)

2024-06-13 16:20:44,097 - INFO - ur_api: Send data: movej([-0.25332894196006805, -1.7296918243160728, -1.8883612618067638, -1.0990358605091735, 1.6013156438621103, -2.355975909197172], a=0.4, v=0.1, t=0, r=0)

2024-06-13 16:20:44,097 - INFO - ur_api: Send data: movej([-0.25332894196006805, -1.7296918243160728, -1.8883612618067638, -1.0990358605091735, 1.6013156438621103, -2.355975909197172], a=0.4, v=0.1, t=0, r=0)

2024-06-13 16:20:45,249 - INFO - ur_api: Send data: movej([-0.25332894196006805, -1.7296918243160728, -1.8883612618067638, -1.0990358605091735, 1.6013156438621103, -2.355975909197172], a=0.4, v=0.1, t=0, r=0)

2024-06-13 16:20:45,249 - INFO - ur_api: Send data: movej([-0.25332894196006805, -1.7296918243160728, -1.8883612618067638, -1.0990358605091735, 1.6013156438621103, -2.355975909197172], a=0.4, v=0.1, t=0, r=0)

2024-06-13 16:20:45,249 - INFO - ur_api: Send data: movej([-0.25332894196006805, -1.7296918243160728, -1.8883612618067638, -1.0990358605091735, 1.6013156438621103, -2.355975909197172], a=0.4, v=0.1, t=0, r=0)

2024-06-13 16:20:45,260 - INFO - ur_api: Send data: movej([-0.32302784309896226, -1.7493819029902027, -1.863474600076625, -1.1063470857885256, 1.6009142067313666, -2.4257057136914693], a=0.4, v=0.1, t=0, r=0)

2024-06-13 16:20:45,260 - INFO - ur_api: Send data: movej([-0.32302784309896226, -1.7493819029902027, -1.863474600076625, -1.1063470857885256, 1.6009142067313666, -2.4257057136914693], a=0.4, v=0.1, t=0, r=0)

2024-06-13 16:20:45,260 - INFO - ur_api: Send data: movej([-0.32302784309896226, -1.7493819029902027, -1.863474600076625, -1.1063470857885256, 1.6009142067313666, -2.4257057136914693], a=0.4, v=0.1, t=0, r=0)

2024-06-13 16:20:46,593 - INFO - ur_api: Send data: movej([-0.32302784309896226, -1.7493819029902027, -1.863474600076625, -1.1063470857885256, 1.6009142067313666, -2.4257057136914693], a=0.4, v=0.1, t=0, r=0)

2024-06-13 16:20:46,593 - INFO - ur_api: Send data: movej([-0.32302784309896226, -1.7493819029902027, -1.863474600076625, -1.1063470857885256, 1.6009142067313666, -2.4257057136914693], a=0.4, v=0.1, t=0, r=0)

2024-06-13 16:20:46,593 - INFO - ur_api: Send data: movej([-0.32302784309896226, -1.7493819029902027, -1.863474600076625, -1.1063470857885256, 1.6009142067313666, -2.4257057136914693], a=0.4, v=0.1, t=0, r=0)

2024-06-13 16:20:46,606 - INFO - ur_api: Send data: movej([-0.3249325850194803, -1.7492939211260206, -1.8662236007829234, -1.0980250020173914, 1.607495900467582, -2.444873592931223], a=0.4, v=0.1, t=0, r=0)

2024-06-13 16:20:46,606 - INFO - ur_api: Send data: movej([-0.3249325850194803, -1.7492939211260206, -1.8662236007829234, -1.0980250020173914, 1.607495900467582, -2.444873592931223], a=0.4, v=0.1, t=0, r=0)

2024-06-13 16:20:46,606 - INFO - ur_api: Send data: movej([-0.3249325850194803, -1.7492939211260206, -1.8662236007829234, -1.0980250020173914, 1.607495900467582, -2.444873592931223], a=0.4, v=0.1, t=0, r=0)

2024-06-13 16:20:47,112 - INFO - ur_api: Send data: movej([-0.3249325850194803, -1.7492939211260206, -1.8662236007829234, -1.0980250020173914, 1.607495900467582, -2.444873592931223], a=0.4, v=0.1, t=0, r=0)

2024-06-13 16:20:47,112 - INFO - ur_api: Send data: movej([-0.3249325850194803, -1.7492939211260206, -1.8662236007829234, -1.0980250020173914, 1.607495900467582, -2.444873592931223], a=0.4, v=0.1, t=0, r=0)

